id;lat;long;sample1C;sample2A
84;-27,61911226;-48,48100829;-0,046357617;0,023655914
85;-27,60190533;-48,46266539;0,01302803;0,08124524
86;-27,56549622;-48,44041985;0,21496955;0,41641337
87;-27,58274758;-48,44629737;0,021940516;0,095969304
88;-27,6117498;-48,47803688;0,18891688;0,3377049
89;-27,53012371;-48,44022809;0,28601694;0,57467145
90;-27,5763963;-48,44927968;0,030605871;0,11661236
91;-27,55480399;-48,44775442;0,04783599;0,13356559
92;-27,60559975;-48,4525533;-0,050896753;0,00935501
93;-27,54687438;-48,45816186;-0,05543237;
94;-27,5192686;-48,42894264;-0,010549694;0,049692877
95;-27,5237271;-48,43096419;-0,035215203;0,019744514
96;-27,61857109;-48,47605722;-0,059509918;0,010988993
97;-27,59744461;-48,45557768;-0,06690141;-0,008631328
98;-27,59797645;-48,45505901;-0,047330096;0,018673515
99;-27,60738766;-48,45656327;0,028994083;0,096493624
100;-27,55891248;-48,44057266;0,13595706;0,2250954
